"";"route_n";"next_stop_dist";"name";"bus";"tram";"trolley";"minibus";"lat";"lon";"Широта.(МСК-61)";"Долгота.(МСК-61)";"n_bus";"n_tram";"n_trolley";"n_minibus";"n_all";"NA"
"45";"2";274,699357309178;"35-я линия";"80, 70, 54";NA;"22, 2";"80, 66";47,23055;39,77326;422628,078610805;2208474,25029276;3;0;2;2;7;10
"43";"2";241,40988132162;"35-я линия";NA;NA;"2";NA;47,22817;39,77422;422362,358790799;2208542,8477164;0;0;1;0;1;9
"298";"2";305,279339142272;"Красный Аксай";NA;NA;"2";NA;47,22604;39,77482;422124,855515167;2208584,61815511;0;0;1;0;1;11
"30";"2";306,857967344394;"29-я линия";NA;NA;"2";NA;47,22528;39,77094;422044,922336366;2208289,45989695;0;0;1;0;1;6
"25";"2";153,680460975653;"23-я линия";NA;NA;"2";NA;47,22454;39,76703;421967,262682307;2207992,05587841;0;0;1;0;1;5
"975";"2";494,655752697063;"ул. Листопадова";NA;NA;"2";NA;47,22415;39,76508;421926,209052499;2207843,69476034;0;0;1;0;1;32
"13";"2";140,836028754115;"19-я линия";"80, 70, 68, 54";NA;"22, 2";"80, 66";47,22833;39,76286;422393,541024486;2207682,82966646;4;0;2;2;8;3
"552";"2";135,786159731388;"пл. Свободы";"80, 70, 68, 54";NA;"22, 2";"80, 66";47,22932;39,76402;422502,229180694;2207772,39655987;4;0;2;2;8;20
"531";"2";338,904283901344;"пл. К. Маркса";"80, 70, 54";NA;"22, 2";"98, 80, 66, 24";47,22997;39,7625;422576,29188989;2207658,41972541;3;0;2;4;9;19
"31";"2";81,2588047898321;"13-я линия";"98, 80, 70, 67, 7, 3а, 3";NA;"22, 9, 2, 1";"98, 80";47,22966;39,75804;422547,122672904;2207320,13283216;7;0;4;2;13;1
"51";"2";322,594091587437;"14-я линия";"98, 80, 70, 67, 7";NA;"22, 9, 2, 1";NA;47,22959;39,75697;422540,613622106;2207238,98137838;5;0;4;0;9;2
"371";"2";59,7879205178396;"2-я линия";"98, 80, 70, 67, 7";NA;"22, 9, 2, 1";NA;47,22881;39,75286;422458,798816807;2206926,37067679;5;0;4;0;9;8
"221";"2";352,211429780154;"1-я линия";"98, 80, 70, 67, 7, 3а, 3";NA;"22, 9, 2, 1";"98, 80";47,22856;39,75216;422431,841737296;2206872,9215532;7;0;4;2;13;4
"5591";"2";288,989588275828;"пл. Театральная";"98, 80, 70, 67, 7, 3а, 3";NA;"22, 9, 2, 1";"98, 80, 55";47,22774;39,74766;422346,066906287;2206530,69409318;7;0;4;3;14;21
"5601";"2";365,467522141179;"пл. Театральная";"80, 70, 67, 7, 3а, 3, 98";NA;"22, 9, 2, 1";"98, 80";47,22764;39,74384;422339,538220136;2206241,2255552;7;0;4;2;13;22
"4481";"2";173,784062666315;"пер. Нахичеванский";"98, 80, 70, 67, 7, 3а, 3";NA;"22, 9, 2, 1";NA;47,22663;39,73924;422232,797609248;2205891,07256008;7;0;4;0;11;15
"4331";"2";403,019116391576;"пер. Крепостной";"98, 80, 70, 67, 7, 3а, 3";NA;"22, 9, 2, 1";NA;47,22631;39,73699;422199,941587269;2205720,10631183;7;0;4;0;11;14
"6321";"2";301,309381602775;"пр. Кировский";"98, 80, 70, 67, 7, 3а, 3";NA;"22, 9, 2, 1";NA;47,22515;39,73194;422077,102132302;2205335,58695651;7;0;4;0;11;27
"4931";"2";285,271945633852;"пер. Университетский";"3, 98, 80, 70, 67, 7, 3а";NA;"22, 9, 2, 1";NA;47,22445;39,72809;422003,964414686;2205042,75709963;7;0;4;0;11;18
"6631";"2";296,754955173934;"пр. Чехова";"98, 80, 70, 67, 7, 3а, 3";NA;"22, 9, 2, 1";NA;47,22351;39,72352;421905,039724087;2204694,95853671;7;0;4;0;11;29
"6241";"2";187,538324615106;"пр. Ворошиловский";NA;NA;"22, 9, 2, 1";NA;47,22262;39,71982;421810,626669663;2204413,13002973;0;0;4;0;4;25
"6251";"2";291,123399580576;"пр. Ворошиловский";"98, 80, 70, 67, 33, 7, 3а, 3";NA;"22, 9, 2, 1";NA;47,22225;39,7174;421772,463353477;2204229,17646834;8;0;4;0;12;26
"4781";"2";402,059801230814;"пер. Семашко";"3, 98, 80, 70, 67, 33, 7, 3а";NA;"22, 9, 2, 1";NA;47,22146;39,71369;421689,201964836;2203946,75713121;8;0;4;0;12;16
"6161";"2";191,728084641497;"пр. Буденновский";"98, 80, 70, 67, 7, 3а, 3";NA;"22, 9, 2, 1";NA;47,22023;39,70869;421558,633023869;2203565,82474383;7;0;4;0;11;23
"6171";"2";393,398634049772;"пр. Буденновский";"98, 80, 70, 67, 33, 7, 3а, 3";NA;"22, 9, 2, 1";NA;47,21984;39,70622;421518,334420981;2203378,03367013;8;0;4;0;12;24
"4011";"2";356,369686669254;"пер. Братский";"98, 80, 75, 70, 67, 33, 7, 3а, 3";NA;"22, 9, 2, 1";NA;47,21846;39,69954;421373,217962726;2202869,55290041;9;0;4;0;13;13
"6731";"2";NA;"Пригородный ЖДВ";"3а, 7, 31, 33, 39, 70, 80, 3";NA;"22, 1, 2, 9";"55, 20, 38, 52, 58, 59, 67, 78, 90, 98, 99, 40";47,21788;39,69462;421314,880215892;2202495,82763464;8;0;4;12;24;31
"1851";"5";501,314842138745;"Главный ЖДВ";NA;NA;"22, 9, 5, 1";NA;47,22068;39,69164;421629,896454274;2202275,26079839;0;0;4;0;4;9
"169";"5";528,659444030121;"Гвардейская площадь";"21";NA;"5";"98, 88, 80, 67, 59, 55, 52, 40, 29, 21";47,22457;39,69713;422055,491079642;2202698,20637888;1;0;1;10;12;7
"619";"5";419,177107973791;"пр. Будённовский";NA;NA;"5";"98, 88, 80, 67, 59, 55, 52, 40, 29";47,22636;39,70555;422244,013687146;2203339,15639877;0;0;1;9;10;21
"483";"5";363,064860226368;"пер. Семашко";NA;NA;"5";"98, 88, 80, 67, 59, 55, 52, 40, 29";47,22767;39,71091;422383,016795848;2203747,45900969;0;0;1;9;10;18
"626";"5";183,34536502971;"пр. Ворошиловский";NA;NA;"5";"29, 98, 88, 80, 67, 59, 55, 52, 40";47,22863;39,7155;422484,084496723;2204096,79808127;0;0;1;9;10;23
"627";"5";263,577978356114;"пр. Ворошиловский";NA;NA;"5";"98, 88, 80, 67, 59, 55, 52, 40, 29";47,22898;39,71787;422520,081389595;2204276,90818959;0;0;1;9;10;24
"665";"5";558,740555750482;"пр. Чехова";NA;NA;"5";"98, 88, 80, 67, 59, 55, 52, 40, 29";47,22978;39,72162;422604,420790575;2204562,33037204;0;0;1;9;10;29
"634";"5";349,01340682276;"пр. Кировский";NA;NA;"5";"98, 88, 80, 67, 59, 55, 52, 40, 29";47,23132;39,72863;422767,066854583;2205095,93639656;0;0;1;9;10;26
"435";"5";294,953600428419;"пер. Крепостной";NA;NA;"5";"98, 88, 80, 67, 59, 55, 52, 40, 29";47,23247;39,73408;422888,293483577;2205510,68882869;0;0;1;9;10;16
"249";"5";301,127482418474;"Завод ""Рубин""";NA;NA;"5";"98, 88, 80, 67, 59, 55, 52, 40, 29";47,2335;39,73809;422997,947626115;2205816,17019856;0;0;1;9;10;13
"570";"5";289,451035510094;"пл. Энергетиков";NA;NA;"5";"93, 88, 67, 59, 52, 40, 29";47,23617;39,7398;423292,715299143;2205950,38736381;0;0;1;7;8;19
"191";"5";244,439509219003;"Горгаз";NA;NA;"5";"93, 88, 67, 59, 52, 40, 29";47,23735;39,74392;423418,935532843;2206264,43320725;0;0;1;7;8;10
"39";"5";344,391784260886;"2-я линия";NA;NA;"5";"93, 88, 67, 59, 52, 40, 29";47,23828;39,74778;423517,690685259;2206558,33904015;0;0;1;7;8;5
"7";"5";391,998968467194;"14-я линия";NA;NA;"5";"93, 88, 67, 59, 52, 40, 29";47,23953;39,75208;423651,509961878;2206886,11060041;0;0;1;7;8;1
"23";"5";282,781874184117;"20-я линия";NA;NA;"5";"93, 88, 67, 59, 52, 40, 29";47,24094;39,75833;423800,814699294;2207361,78526954;0;0;1;7;8;3
"6701";"5";289,613222819833;"Пригородный автовокзал";"3а, 7, 54, 67, 98, 3";NA;"9, 1, 5";"59, 19, 24, 29, 52, 66, 67, 79, 88, 93, 95, 40";47,24182;39,76184;423894,480193367;2207629,06665746;6;0;3;12;21;30
"6711";"5";79,9393330297385;"Пригородный автовокзал";"3, 54, 67, 98, 3а, 7";NA;"1, 5, 9";"67, 19, 24, 29, 40, 52, 66, 79, 88, 93, 95, 59";47,24322;39,76507;424046,299013725;2207876,0434749;6;0;3;12;21;31
"647";"5";743,286372295763;"пр. Сельмаш";"54, 3а, 3";NA;"5";"79, 66, 59, 40, 29, 24, 19";47,2439;39,76541;424121,495136921;2207902,96484515;3;0;1;7;11;27
"2091";"5";150,66952800755;"ДК ""Ростсельмаш""";"98, 67, 54, 3а, 3";NA;"5, 1";"79, 66, 59, 40, 29, 24, 19";47,2505;39,76392;424857,004075839;2207801,63123642;5;0;2;7;14;12
"8421";"5";309,464543680213;"ул. 1-й Конной Армии";"54, 11, 3а, 3";NA;"5, 1";"79, 66, 59, 40, 29, 24, 19";47,25169;39,76487;424988,177001063;2207875,6115872;4;0;2;7;13;33
"7791";"5";182,441160032615;"Сельмаш";"98, 67, 54, 11, 3а, 3";NA;"5, 1";"79, 66, 59, 40, 29, 24, 19";47,25445;39,76536;425294,437438249;2207917,49482293;6;0;2;7;15;32
"10781";"5";219,439791351525;"ул. Сержантова";"54, 11, 3а, 3";NA;"5, 1";"79, 66, 59, 40, 29, 24, 19";47,25463;39,76776;425311,614499645;2208099,46955969;4;0;2;7;13;35
"8831";"5";NA;"ул. Веры Пановой";"98, 67, 54, 11, 3а, 3";NA;"5, 1";"79, 66, 59, 40, 29, 24, 19";47,25659;39,76745;425529,881096494;2208079,40203906;6;0;2;7;15;34
"539";"6";212,620227414612;"пл. Королева";"92a, 65, 63, 18л";NA;"6";"83, 65, 63, 56, 44, 25, 11";47,29391;39,71387;429743,518543878;2204091,50313387;4;0;1;7;12;5
"1178";"6";291,855206468818;"Шаталова";"63, 18л, 92a, 65";NA;"6";"83, 65, 63, 56, 44, 25, 11";47,29079;39,71461;429395,743052583;2204141,82795159;4;0;1;7;12;35
"143";"6";344,94915416927;"бул. Комарова";"92a, 83, 65, 63, 33, 18п";NA;"6";"95, 83, 65, 63, 56, 44, 25, 11";47,28809;39,71482;429095,313784413;2204152,82748088;6;0;1;8;15;2
"583";"6";424,408207884451;"Поликлиника №16";"92a, 78, 65, 63, 33, 18л";NA;"6";"95, 83, 65, 63, 56, 44, 25, 11";47,2851;39,71588;428761,598286398;2204227,60594833;6;0;1;8;15;10
"776";"6";766,115552615599;"Северный рынок";"92a, 21, 33, 45, 47, 63, 65, 77, 78, 18л";NA;"6";"25, 45, 47, 56, 63, 65, 66, 77, 83, 21";47,28091;39,71683;428294,610173732;2204291,9044413;10;0;1;10;21;12
"919";"6";318,186849317265;"ул. Евдокимова";"92a, 21, 33, 45, 47, 63, 65, 77, 78, 18л";NA;"6";"25, 45, 47, 56, 63, 65, 66, 77, 83, 21";47,27409;39,71855;427534,289932214;2204409,73043114;10;0;1;10;21;19
"1108";"6";498,978224812249;"ул. Фурмановская";"92a, 21, 22, 33, 45, 46, 47, 63, 65, 77, 83, 90, 18п, 90а";NA;"6";"25, 45, 47, 56, 63, 65, 66, 77, 83, 90, 92, 21";47,27054;39,71999;427137,855531933;2204512,29266777;14;0;1;12;27;31
"1022";"6";155,576750919637;"ул. Нариманова";"92a, 21, 22, 33, 45, 46, 47, 63, 65, 77, 78, 90, 18л, 90а";NA;"6";"25, 45, 47, 56, 63, 65, 66, 77, 83, 90, 92, 21";47,26617;39,72146;426650,22397021;2204615,66480817;14;0;1;12;27;26
"1020";"6";536,043804817289;"ул. Нариманова";"18п, 83, 92a, 77, 90а, 2, 21, 22, 33, 45, 46, 47, 63, 65, 90";NA;"6";"90, 47, 21, 25, 45, 56, 63, 65, 66, 83, 92, 77";47,26493;39,72051;426513,532179374;2204541,53999504;15;0;1;12;28;25
"826";"6";440,465422259162;"ТРЦ ""Горизонт""";"92a, 18п, 21, 22, 33, 45, 46, 47, 63, 65, 77, 83, 2, 90а, 90";NA;"6";"21, 25, 45, 47, 56, 63, 65, 66, 77, 83, 90, 92";47,25983;39,7177;425949,993277756;2204319,68303993;15;0;1;12;28;14
"895";"6";173,886478937099;"ул. Герасименко";"65, 18л, 33, 46, 63, 77, 78, 90, 90а, 92a, 47";NA;"6";"63, 65, 25, 47, 56, 92, 83, 77, 66";47,25606;39,71593;425533,043862274;2204178,9089394;11;0;1;9;21;18
"894";"6";506,601971957443;"ул. Герасименко";"92a, 22, 33, 45, 46, 63, 65, 77, 18п, 83";NA;"6";"45, 56, 63, 65, 66, 77, 83, 92, 25";47,25467;39,71488;425379,804506779;2204096,92058985;10;0;1;9;20;17
"543";"6";183,188429835169;"пл. Ленина";"92a, 46, 47, 63, 65, 77, 78, 90, 90а, 18л, 33";NA;"6";"47, 56, 63, 65, 66, 77, 83, 92, 25";47,25032;39,71291;424898,626247647;2203939,92903956;11;0;1;9;21;8
"542";"6";286,451146825411;"пл. Ленина";"83, 5, 22, 33, 42, 42а, 45, 46, 49, 1, 77, 92a, 65";NA;"6";"25, 45, 49, 65, 77, 83, 92";47,24868;39,71271;424716,548171288;2203921,81909029;13;0;1;7;21;7
"1106";"6";730,945363576955;"ул. Турмалиновская";"90а, 33, 35, 35а, 46, 47, 58, 65, 77, 1, 90, 92a, 99, 78";NA;"6";"25, 47, 49, 65, 77, 83, 92";47,24589;39,71315;424405,831424119;2203950,07643592;14;0;1;7;22;29
"374";"6";498,725637373487;"Общежитие РИСИ";"83, 5, 22, 33, 42, 42а, 45, 46, 49, 1, 77, 92a, 65";NA;"6";"25, 45, 49, 65, 77, 83, 92";47,23885;39,71336;423622,911349254;2203953,23223702;13;0;1;7;21;3
"1156";"6";246,244647204803;"ЦГБ";"90а, 33, 35, 35а, 46, 47, 58, 65, 77, 1, 90, 92a, 99, 78";NA;"6";"25, 47, 49, 65, 77, 83, 92";47,23382;39,71394;423062,994607226;2203988,04778962;14;0;1;7;22;33
"966";"6";333,599433162916;"ул. Лермонтовская";"77, 5, 22, 33, 42, 42а, 45, 46, 1, 65, 83, 92a, 49";NA;"6";"45, 49, 65, 77, 83, 92";47,2307;39,71498;422714,853127496;2204061,15981958;13;0;1;6;20;21
"981";"6";397,7006945924;"ул. М. Горького";"90а, 33, 35, 35а, 46, 47, 58, 65, 77, 1, 90, 92a, 99, 78";NA;"6";"47, 49, 65, 77, 83, 92";47,22668;39,71704;422265,402809142;2204209,90318717;14;0;1;6;21;24
"863";"6";168,13368313904;"ул. Б. Садовая";"83, 22, 33, 42, 42а, 45, 46, 49, 5, 77, 1, 92a, 65";NA;"6";"45, 49, 65, 77, 83, 92";47,2232;39,71823;421877,058286447;2204293,75186761;13;0;1;6;20;16
"554";"6";187,570299705484;"пл. Советов";"99, 92a, 90а, 90, 78, 77, 65, 58, 47, 46, 35а, 35, 33, 1";NA;"6";NA;47,22181;39,7191;421721,459709701;2204357,13961722;14;0;1;0;15;9
"1096";"6";549,86144685094;"ул. Темерницкая";"92a, 77, 65, 46, 1";NA;"6";"92, 83, 65";47,22014;39,71877;421536,205649529;2204329,13692748;5;0;1;3;9;27
"1160";"6";NA;"Центральный рынок";"90а, 90, 65, 47";NA;"6";"65";47,21811;39,71214;421318,683584247;2203823,29351268;4;0;1;1;6;34
"948";"8";285,340673173658;"ул. Коминтерна";"4";NA;"8";"4, 8";47,20029;39,66565;419395,997900352;2200268,48583648;1;0;1;2;4;33
"458";"8";625,501225617359;"пер. Пограничный";"4";NA;"8";"8, 4";47,199;39,66239;419256,760265624;2200019,04941159;1;0;1;2;4;9
"383";"8";384,747098257962;"пер. 2-й Поселковый";"4";NA;"8";"8, 4";47,19603;39,65537;418935,603287744;2199481,5156346;1;0;1;2;4;5
"385";"8";578,001073778647;"пер. 3-й Поселковый";"4";NA;"8";"8, 4";47,19425;39,65101;418743,345952723;2199147,7556417;1;0;1;2;4;6
"1087";"8";307,669790811806;"ул. Судостроительная";"4";NA;"8";"8, 4";47,19259;39,64377;418568,188782184;2198595,95363814;1;0;1;2;4;36
"875";"8";270,61340767254;"ул. Богачёва";"4";NA;"8";"8, 4";47,19217;39,63975;418526,731583467;2198290,51158355;1;0;1;2;4;29
"489";"8";361,578230380792;"пер. Строительный";"4";NA;"8";"8, 4";47,19187;39,6362;418498,016044102;2198020,91245731;1;0;1;2;4;11
"443";"8";174,881604545941;"пер. Молодогвардейский";"4";NA;"8";"73, 4";47,19265;39,63156;418590,808496859;2197670,7867876;1;0;1;2;4;8
"494";"8";296,280534224774;"пер. Урицкого";"4";NA;"8";"73, 4";47,19321;39,6294;418655,901545688;2197508,1804281;1;0;1;2;4;12
"952";"8";317,350709953577;"ул. Кузнечная";"4";NA;"8";"73, 4";47,19362;39,62553;418706,575696903;2197215,7054123;1;0;1;2;4;34
"178";"8";300,547622416581;"Гипсовый завод";"4";NA;"8";"73, 4";47,19647;39,62563;419023,28493924;2197228,79389163;1;0;1;2;4;2
"461";"8";308,597617154146;"пер. Пржевальского";"4";NA;"8";"73, 4";47,19887;39,62381;419292,498781081;2197095,53002133;1;0;1;2;4;10
"945";"8";537,958095060398;"ул. Каширская";"4";NA;"8";"73, 4";47,19887;39,61973;419297,891174057;2196786,38141126;1;0;1;2;4;32
"199";"8";269,419708307623;"ГПЗ-10";NA;NA;"8";"73";47,2011;39,61342;419554,177029489;2196312,61285072;0;0;1;1;2;4
"849";"8";406,496280680231;"ул. 2-я Краснодарская";"34, 57, 94, 96, 98, 32";NA;"8";"34, 20, 25, 56, 73, 93, 94, 96, 98, 23";47,20352;39,61337;419823,280692655;2196313,54638392;6;0;1;10;17;26
"1150";"8";307,455545055402;"Хладокомбинат";"34, 57, 94, 96, 98, 32";NA;"8";"34, 20, 25, 56, 73, 93, 94, 96, 98, 23";47,20717;39,61353;420228,847350643;2196332,79028015;6;0;1;10;17;38
"53";"8";544,14739275361;"42-й дом";"98, 96, 94, 57, 34";NA;"8";"98, 96, 94, 93, 73, 34, 20";47,2077;39,61752;420282,471255299;2196636,1033024;5;0;1;7;13;1
"788";"8";338,259799786994;"Сказка";"98, 96, 94, 57, 34";NA;"8";"98, 96, 94, 93, 73, 34, 20, 10";47,20789;39,62471;420294,086914214;2197181,17920277;5;0;1;8;14;23
"1133";"8";414,83295289644;"Универсам";"98, 96, 94, 57, 34";NA;"8";"98, 96, 94, 93, 73, 34, 20, 10";47,208;39,62918;420300,430649456;2197520,0335798;5;0;1;8;14;37
"550";"8";407,768854398172;"пл. Плевен";"98, 96, 94, 57, 34";NA;"8";"98, 96, 94, 93, 73, 34, 20, 10";47,20828;39,63465;420324,383508124;2197934,97177493;5;0;1;8;14;19
"934";"8";342,745683542128;"ул. Зорге/пр. Стачки";"96, 94";NA;"8";"96, 94, 93, 73, 20, 10";47,21194;39,63487;420730,987255854;2197958,66888966;2;0;1;6;9;30
"1184";"8";375,262085004463;"Школа";"71, 67, 64, 26, 16";NA;"8";"71, 67, 59, 52, 40, 16";47,21245;39,63934;420781,844218433;2198298,26182113;5;0;1;6;12;40
"564";"8";539,364811126581;"пл. Тружеников";"71, 67, 64, 26, 16";NA;"8";"71, 67, 59, 52, 40, 16";47,21234;39,6443;420763,156543434;2198673,78400333;5;0;1;6;12;22
"190";"8";381,076399817348;"Глазная клиника";"98, 26, 34, 34а, 41, 57, 64, 67, 71, 16";NA;"8";"34, 40, 44, 52, 55, 59, 67, 71, 98, 16";47,21205;39,65142;420721,686874218;2199212,59222768;10;0;1;10;21;3
"846";"8";417,585541723683;"ул. 2-я Кольцевая";"41, 16, 26, 34а, 57, 64, 67, 71, 98, 34";NA;"8";"44, 16, 52, 34, 40, 98, 71, 67, 59, 55";47,21184;39,65645;420691,849923889;2199593,23297876;10;0;1;10;21;25
"1001";"8";290,653201834623;"ул. Международная";"98, 26, 34, 34а, 41, 57, 64, 67, 71, 16";NA;"8";"34, 40, 44, 52, 55, 59, 67, 71, 98, 16";47,21159;39,66196;420656,974857247;2200010,16325292;10;0;1;10;21;35
"825";"8";537,110153225832;"Тренёва";"41, 34а, 34, 26, 16, 15, 67, 71, 98, 57, 64";NA;"8";"67, 16, 34, 40, 44, 52, 59, 71, 98, 55";47,21137;39,66579;420627,611598386;2200299,88700912;11;0;1;10;22;24
"528";"8";365,158500529699;"пл. Дружинников";"4";NA;"8";"4";47,21093;39,67413;420568,063422437;2200930,85499889;1;0;1;1;3;17
"865";"8";435,512029889256;"ул. Бабушкина";"15, 98, 4, 16, 26, 34, 41, 57, 64, 67, 71, 34а";NA;"12, 8";"4, 40, 44, 52, 55, 59, 67, 16, 98, 34, 71";47,2111;39,68015;420579,330210417;2201387,21368081;12;0;2;11;25;27
"506";"8";1090,19698684896;"Переходной мост";"64, 4, 15, 16, 26, 34, 34а, 57, 67, 98, 41, 71";NA;"12, 8";"40, 71, 98, 55, 44, 34, 16, 67, 4, 59, 52";47,21153;39,68697;420618,530143072;2201904,65302555;12;0;2;11;25;13
"938";"8";375,236571089389;"ул. Интернациональная";"4";NA;"8";"8, 4";47,20423;39,67736;419819,106715782;2201163,07900891;1;0;1;2;4;31
