"№ п\п";"Регистрационный
номер маршрута
регулярных перевозок";"Порядковый номер
маршрута регулярных
перевозок, который
присвоен ему
организатором перевозок";"Наименование маршрута
регулярных перевозок
в виде наименования
начального остановочного
пункта и конечного
остановочного пункта
по маршруту регулярных
перевозок или в
виде наименований
поселений, в
границах которых
расположены начаный
остановочный пункт
и конечный остановочный
пункт по данному маршруту";"Наименования промежуточных
остановочных пунктов
по маршруту регулярных
перевозок или наименования
поселений, в границах
которых расположены
промежуточные остановочные
пункты";"Наименования улиц,
автомобильных дорог,
по которым предполагается
движение транспортных
средств между
остановочными пунктами
по маршруту регулярных
перевозок";"Протяженность маршрута
регулярных перевозок";"Порядок посадки и
высадки пассажиров(только
в установленных остановочных
пункта или если это
не запрещено действующим
законодательством, в
любом не запрещенном правилами
дорожного движения месте
по маршруту регулярных
перевозок)";"Вид регулярных
перевозок";"Виды транспортных средств";"Классы транспортных средств";"Максимальное количество
транспортных средств каждого класса";"Экологические
характеристики
транспортных средств,
которые используются
для перевозок по маршруту
регулярных перевозок";"Дата начала
осуществления регулярных
перевозок";"Наименование юридического
лица, фамилия, имя и,
если имеется, отчество
индивидуального предпринимателя
(в том числе участников
договора простого товарищества)";"Местонахождение
юридического лица"
"1";"1";"282";"г. Азов – г. Батайск ";"х. Новоалександровка,
с. Кулешовка,
п. Овощной,
п. Койсуг";"автомобильная дорога 60 ОП РЗ 60К-59,
г. Батайск, ул. Грузинская,
г. Батайск, ул. М.Горького";"30.5";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Малый";"2";"не ниже Euro-4";"15.05.2018";"ООО Транспортная компания «Газель»";"346780, Ростовская область, г. Азов, ул. Ульянова, 15-а"
"2";"2";"620";"г. Азов – х. Обуховка";"г. Азов, автовокзал,
х. Новоалександровка,
с. Кулешовка,
п. Овощной,
п. Койсуг,
г. Ростов-на-Дону";"г. Азов, ул. Привокзальная,
г. Азов, ул. Измайлова,
г. Азов, ул. Московская,
автомобильная дорога 60 ОП РЗ 60К-59,
с. Кулешовка, ул. Ленина,
автомобильная дорога 60 ОП РЗ 60К-59,
п. Овощной, ул. М.Горького,
автомобильная дорога 60 ОП РЗ 60К-59,
г. Ростов-на-Дону, ул. Всесоюзная,
г. Ростов-на-Дону, ул. Кумженская,
автомобильная дорога 60 ОП МЗ 60Н-54,
х. Колузаево, ул. Степная,
автомобильная дорога 60 ОП МЗ 60Н-54,
х. Городище, ул. Придорожная,
автомобильная дорога 60 ОП МЗ 60Н-54,
х. Обуховка, ул. Ленина";"52.0";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Малый";"1";"не ниже Евро-2";"15.05.2018";"ООО «Азовавтотранс»";"346780, Азовский район, г. Азов, Кагальницкое шоссе,4"
"3";"3";"215/2";"г. Азов – г. Ростов-на-Дону (Привокзальная площадь) – г. Азов";"с. Кулешовка,
п. Овощной";"г. Азов, ул. Привокзальная,
г. Азов, ул. Измайлова,
г. Азов, ул. Московская,
автомобильная дорога 60 ОП РЗ 60К-59,
г. Батайск, ш. Западное,
г. Батайск, ш. Восточное,
г. Ростов-на-Дону, ул. Пойменная,
г. Ростов-на-Дону, пр-кт. Сиверса";"42.0";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Малый";"1";"";"10.12.2015";"- не определен";"-"
"4";"4";"217";"г. Азов – г. Ростов-на-Дону (Аэропорт) ";"с. Кулешовка,
г. Ростов-на-Дону, пр-кт. Шолохова";"г. Азов, ул. Привокзальная,
г. Азов, ул. Измайлова,
г. Азов, ул. Московская,
автомобильная дорога 60 ОП РЗ 60К-59,
с. Кулешовка, ул. Ленина,
автомобильная дорога 60 ОП РЗ 60К-59,
п. Овощной, ул. М.Горького,
автомобильная дорога 60 ОП РЗ 60К-59,
г. Батайск, ш. Западное,
г. Батайск, ш. Восточное,
г. Ростов-на-Дону, ул. Пойменная,
г. Ростов-на-Дону, пр-кт. Сиверса,
г. Ростов-на-Дону, ул. Красноармейская,
г. Ростов-на-Дону, пр-кт. Театральный,
г. Ростов-на-Дону, пр-кт. Шолохова,
г. Аксай, пр-кт. Аксайский";"53.0";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Малый";"3";"не ниже Euro-3";"15.05.2018";"ООО «Азовавтотранс»";"346780, Азовский район, г. Азов, Кагальницкое шоссе,4"
"5";"5";"216";"г. Азов – г. Ростов-на-Дону (Западный) – г. Азов (через с. Новоалександровка, с. Кулешовка, п. Овощной, ост. «ГПЗ-10», «пл. Плевена», «Фортуна»)";"х. Новоалександровка,
с. Кулешовка,
п. Овощной";"г. Азов, ул. Привокзальная,
г. Азов, ул. Измайлова,
г. Азов, ул. Московская,
автомобильная дорога 60 ОП РЗ 60К-59,
с. Кулешовка, ул. Ленина,
автомобильная дорога 60 ОП РЗ 60К-59,
п. Овощной, ул. М.Горького,
автомобильная дорога 60 ОП РЗ 60К-59,
г. Ростов-на-Дону, ул. Всесоюзная,
г. Ростов-на-Дону, ул. Малиновского,
г. Ростов-на-Дону, пр-кт. Коммунистический,
г. Ростов-на-Дону, ул. Зорге,
г. Ростов-на-Дону, ул. 339-й Стрелковой Дивизии,
г. Ростов-на-Дону, ул. Малиновского,
г. Ростов-на-Дону, ул. Доватора";"49.3";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Малый";"10";"не ниже Euro-3";"27.02.2015";"ООО «Азовавтотранс»";"346780, Азовский район, г. Азов, Кагальницкое шоссе,4"
"6";"6";"216";"г. Азов – г. Ростов-на-Дону (Западный) ";"х. Новоалександровка,
с. Кулешовка,
п. Овощной";"г. Азов, ул. Привокзальная,
г. Азов, ул. Измайлова,
г. Азов, ул. Московская,
автомобильная дорога 60 ОП РЗ 60К-59,
г. Батайск, ш. Западное,
г. Ростов-на-Дону, ул. Всесоюзная,
г. Ростов-на-Дону, ул. Малиновского,
г. Ростов-на-Дону, пр-кт. Коммунистический,
г. Ростов-на-Дону, ул. Зорге,
г. Ростов-на-Дону, ул. 339-й Стрелковой Дивизии,
г. Ростов-на-Дону, ул. Малиновского,
г. Ростов-на-Дону, ул. Доватора";"49.3";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Малый";"5";"не ниже Euro-2";"15.05.2018";"ООО «Азовавтотранс»";"346780, Азовский район, г. Азов, Кагальницкое шоссе,4"
"7";"7";"215/1";"г. Азов – г. Ростов-на-Дону";"х. Новоалександровка,
п. Овощной";"г. Азов, пер. Панфилова,
г. Азов, ул. Кирова,
г. Азов, пер. Черноморский,
г. Азов, ул. Инзенская,
г. Азов, ул. Привокзальная,
г. Азов, ул. Измайлова,
г. Азов, ул. Московская,
автомобильная дорога 60 ОП РЗ 60К-59,
г. Батайск, ш. Западное,
г. Батайск, ш. Восточное,
г. Ростов-на-Дону, ул. Пойменная,
г. Ростов-на-Дону, пр-кт. Сиверса,
г. Ростов-на-Дону, пл. Привокзальная";"42.0";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Малый";"20";"не ниже Euro-2";"15.05.2018";"ООО «Азовавтотранс»";"346780, Азовский район, г. Азов, Кагальницкое шоссе,4"
"8";"8";"215/1";"г. Азов – г. Ростов-на-Дону ";"х. Новоалександровка,
п. Овощной";"г. Азов, пер. Панфилова,
г. Азов, ул. Кирова,
г. Азов, пер. Черноморский,
г. Азов, ул. Инзенская,
г. Азов, ул. Привокзальная,
г. Азов, ул. Измайлова,
г. Азов, ул. Московская,
автомобильная дорога 60 ОП РЗ 60К-59,
г. Батайск, ш. Западное,
г. Батайск, ш. Восточное,
г. Ростов-на-Дону, ул. Пойменная,
г. Ростов-на-Дону, пр-кт. Сиверса,
г. Ростов-на-Дону, пл. Привокзальная";"42.0";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Малый";"15";"не ниже Euro-3";"15.05.2018";"ООО «Азовавтотранс»";"346780, Азовский район, г. Азов, Кагальницкое шоссе,4"
"9";"9";"215/2";"г. Азов – г. Ростов-на-Дону (Привокзальная площадь) – г. Азов";"с. Кулешовка,
п. Овощной";"г. Азов, ул. Привокзальная,
г. Азов, ул. Измайлова,
г. Азов, ул. Московская,
автомобильная дорога 60 ОП РЗ 60К-59,
г. Батайск, ш. Западное,
г. Батайск, ш. Восточное,
г. Ростов-на-Дону, ул. Пойменная,
г. Ростов-на-Дону, пр-кт. Сиверса";"42.0";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Малый";"15";"не ниже Euro-4";"22.04.2015";"ООО Транспортная компания «Газель»";"346780, Ростовская область, г. Азов, ул. Ульянова, 15-а"
"10";"10";"510";"г. Аксай – г. Батайск ";"п. Дивный,
п. Островский,
х. Луговой,
х. Ленина";"г. Аксай, ул. Западная,
автомобильная дорога М-4 'Дон',
автомобильная дорога 60 ОП РЗ 60К-4.1,
автомобильная дорога М-4 'Дон',
автомобильная дорога А-135,
г. Батайск, ш. Восточное,
г. Батайск, ул. Промышленная,
г. Батайск, ул. Энгельса,
г. Батайск, ул. Кирова";"37.2";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Средний";"2";"Euro не установлено";"15.05.2018";"ООО «ДОН-Авто»";"346711, Ростовская область, г. Аксай, ул. Менделеева, 11а"
"11";"11";"515";"г. Аксай – г. Новочеркасск ";"х. Большой Лог,
п. Реконструктор,
п. Опытный,
х. Александровка,
ст-ца. Мишкинская,
х. Малый Мишкин";"г. Аксай, ул. Гулаева,
г. Аксай, ул. Толпинского,
г. Аксай, пр-кт. Ленина,
г. Аксай, ул. Садовая,
г. Аксай, ул. Казачья,
х. Большой Лог, ул. Советская,
п. Реконструктор, ул. Садовая,
автомобильная дорога 60 ОП МЗ 60Н-77,
п. Опытный, ул. Вишневая,
автомобильная дорога 60 ОП МЗ 60Н-77,
г. Новочеркасск, ул. Ростовский выезд,
г. Новочеркасск, ул. Северная,
г. Новочеркасск, пр-кт. Платовский";"43.0";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Малый";"3";"Euro не установлено";"15.05.2018";"ООО «ДОН-Авто»";"346711, Ростовская область, г. Аксай, ул. Менделеева, 11а"
"12";"12";"124";"г. Аксай  – г. Ростов-на-Дону";"г. Аксай, школа №3,
г. Аксай, Водники,
г. Аксай, ул. Революции,
г. Аксай, Сельхозтехника,
г. Аксай, ул. Чичерина,
г. Аксай, пл. Героев,
г. Аксай, Почта,
г. Аксай, ул. Буденновский Спуск,
г. Аксай, ул. Колодезная,
г. Аксай, ул. Маяковского,
г. Аксай, Больница,
г. Аксай, Стадион,
г. Аксай, ПМК,
г. Аксай, Совтрансавто,
г. Аксай, Релейная,
г. Аксай, пр-кт. Аксайский (Овощной рынок),
г. Ростов-на-Дону, Пригородный автовокзал,
г. Ростов-на-Дону, пл. Карла Маркса";"прямое направление:,
г. Аксай, ул. Садовая,
г. Аксай, ул. Лесная,
г. Аксай, ул. Чапаева,
г. Аксай, ул. Советская,
г. Аксай, ул. Гулаева,
г. Аксай, ул. Толпинского,
г. Аксай, пр-кт. Ленина,
г. Аксай, пр-кт. Аксайский,
г. Ростов-на-Дону, пр-кт. Шолохова,
г. Ростов-на-Дону, ул. 20-я линия,
г. Ростов-на-Дону, пл. Карла Маркса,
г. Ростов-на-Дону, пл. Свободы,
обратное направление:,
г. Ростов-на-Дону, пл. Свободы,
г. Ростов-на-Дону, пл. Карла Маркса,
г. Ростов-на-Дону, ул. 20-я линия,
г. Ростов-на-Дону, пр-кт. Шолохова,
г. Аксай, пр-кт. Аксайский,
г. Аксай, пр-кт. Ленина,
г. Аксай, ул. Толпинского,
г. Аксай, ул. Гулаева,
г. Аксай, ул. Советская,
г. Аксай, ул. Луначарского,
г. Аксай, ул. Октябрьская,
г. Аксай, ул. Чапаева,
г. Аксай, ул. Лесная,
г. Аксай, ул. Садовая";"21.8";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Малый";"5";"Euro не установлено";"02.03.2018";"ООО «Кварта-1»";"346720, Ростовская область, г. Аксай, ул. Промышленная, 5"
"13";"13";"124";"г. Аксай - г. Ростов-на-Дону";"г. Аксай, Военгородок,
г. Аксай, школа №3,
г. Аксай, Водники,
г. Аксай, ул. Революции,
г. Аксай, Сельхозтехника,
г. Аксай, ул. Чичерина,
г. Аксай, пл. Героев,
г. Аксай, Почта,
г. Аксай, ул. Буденновский Спуск,
г. Аксай, ул. Колодезная,
г. Аксай, ул. Маяковского,
г. Аксай, Больница,
г. Аксай, Стадион,
г. Аксай, ПМК,
г. Аксай, Совтрансавто,
г. Аксай, Релейная,
г. Аксай, пр-кт. Аксайский (Овощной рынок),
г. Ростов-на-Дону, Пригородный автовокзал,
г. Ростов-на-Дону, пл. Карла Маркса";"прямое направление:,
г. Аксай, ул. Садовая,
г. Аксай, ул. Лесная,
г. Аксай, ул. Чапаева,
г. Аксай, ул. Советская,
г. Аксай, ул. Гулаева,
г. Аксай, ул. Толпинского,
г. Аксай, пр-кт. Ленина,
г. Аксай, пр-кт. Аксайский,
г. Ростов-на-Дону, пр-кт. Шолохова,
г. Ростов-на-Дону, ул. 20-я линия,
г. Ростов-на-Дону, пл. Карла Маркса,
обратное направление:,
г. Ростов-на-Дону, пл. Карла Маркса,
г. Ростов-на-Дону, ул. 20-я линия,
г. Ростов-на-Дону, пр-кт. Шолохова,
г. Аксай, пр-кт. Аксайский,
г. Аксай, пр-кт. Ленина,
г. Аксай, ул. Толпинского,
г. Аксай, ул. Гулаева,
г. Аксай, ул. Советская,
г. Аксай, ул. Луначарского,
г. Аксай, ул. Октябрьская,
г. Аксай, ул. Чапаева,
г. Аксай, ул. Лесная,
г. Аксай, ул. Садовая";"21.8";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Малый";"8";"Euro не установлено";"15.05.2018";"ООО «Кварта»";"346720, Ростовская область, г. Аксай, ул. Промышленная, 5"
"14";"14";"124";"г. Аксай - г. Ростов-на-Дону ";"г. Аксай, Военгородок,
г. Аксай, школа №3,
г. Аксай, Водники,
г. Аксай, ул. Революции,
г. Аксай, Сельхозтехника,
г. Аксай, ул. Чичерина,
г. Аксай, пл. Героев,
г. Аксай, Почта,
г. Аксай, ул. Буденновский Спуск,
г. Аксай, ул. Колодезная,
г. Аксай, ул. Маяковского,
г. Аксай, Больница,
г. Аксай, Стадион,
г. Аксай, ПМК,
г. Аксай, Совтрансавто,
г. Аксай, Релейная,
г. Аксай, пр-кт. Аксайский (Овощной рынок),
г. Ростов-на-Дону, Пригородный автовокзал,
г. Ростов-на-Дону, пл. Карла Маркса";"прямое направление:,
г. Аксай, ул. Садовая,
г. Аксай, ул. Лесная,
г. Аксай, ул. Чапаева,
г. Аксай, ул. Советская,
г. Аксай, ул. Гулаева,
г. Аксай, ул. Толпинского,
г. Аксай, пр-кт. Ленина,
г. Аксай, пр-кт. Аксайский,
г. Ростов-на-Дону, пр-кт. Шолохова,
г. Ростов-на-Дону, ул. 20-я линия,
г. Ростов-на-Дону, пл. Карла Маркса,
обратное направление:,
г. Ростов-на-Дону, пл. Карла Маркса,
г. Ростов-на-Дону, ул. 20-я линия,
г. Ростов-на-Дону, пр-кт. Шолохова,
г. Аксай, пр-кт. Аксайский,
г. Аксай, пр-кт. Ленина,
г. Аксай, ул. Толпинского,
г. Аксай, ул. Гулаева,
г. Аксай, ул. Советская,
г. Аксай, ул. Луначарского,
г. Аксай, ул. Октябрьская,
г. Аксай, ул. Чапаева,
г. Аксай, ул. Лесная,
г. Аксай, ул. Садовая";"21.8";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Малый";"8";"Euro не установлено";"15.05.2018";"ООО «Кварта»";"346720, Ростовская область, г. Аксай, ул. Промышленная, 5"
"15";"15";"126";"г. Аксай – г. Ростов-на-Дону";"г. Аксай, 17-ти этажка,
г. Ростов-на-Дону, главный ЖДВ,
г. Ростов-на-Дону, ТРК МЕГАМАГ";"прямое направление:,
г. Аксай, ул. Мира,
г. Аксай, ул. Западная,
автомобильная дорога М-4 'Дон',
г. Аксай, пр-кт. Аксайский,
г. Ростов-на-Дону, пр-кт. Шолохова,
г. Ростов-на-Дону, пр-кт. Театральный,
г. Ростов-на-Дону, ул. Красноармейская,
г. Ростов-на-Дону, пл. Привокзальная,
г. Ростов-на-Дону, пр-кт. Сиверса,
г. Ростов-на-Дону, ул. Пойменная,
обратное направление:,
г. Ростов-на-Дону, ул. Пойменная,
г. Ростов-на-Дону, пр-кт. Сиверса,
г. Ростов-на-Дону, пл. Привокзальная,
г. Ростов-на-Дону, ул. Красноармейская,
г. Ростов-на-Дону, пр-кт. Театральный,
г. Ростов-на-Дону, пр-кт. Шолохова,
г. Аксай, пр-кт. Аксайский,
г. Аксай, пр-кт. Ленина,
г. Аксай, ул. Мира";"22.5";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Малый";"4";"не ниже Euro-2";"21.05.2018";"ООО «Кварта»";"346720, Ростовская область, г. Аксай, ул. Промышленная, 5"
"16";"16";"126";"г. Аксай – г. Ростов-на-Дону";"г. Аксай, 17-ти этажка,
г. Ростов-на-Дону, главный ЖДВ,
г. Ростов-на-Дону, ТРК МЕГАМАГ";"прямое направление:,
г. Аксай, ул. Мира,
г. Аксай, ул. Западная,
автомобильная дорога М-4 'Дон',
г. Аксай, пр-кт. Аксайский,
г. Ростов-на-Дону, пр-кт. Шолохова,
г. Ростов-на-Дону, пр-кт. Театральный,
г. Ростов-на-Дону, ул. Красноармейская,
г. Ростов-на-Дону, пл. Привокзальная,
г. Ростов-на-Дону, пр-кт. Сиверса,
г. Ростов-на-Дону, ул. Пойменная,
обратное направление:,
г. Ростов-на-Дону, ул. Пойменная,
г. Ростов-на-Дону, пр-кт. Сиверса,
г. Ростов-на-Дону, пл. Привокзальная,
г. Ростов-на-Дону, ул. Красноармейская,
г. Ростов-на-Дону, пр-кт. Театральный,
г. Ростов-на-Дону, пр-кт. Шолохова,
г. Аксай, пр-кт. Аксайский,
г. Аксай, пр-кт. Ленина,
г. Аксай, ул. Мира";"22.5";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Малый";"4";"Euro не установлено";"15.05.2018";"ООО «Кварта»";"346720, Ростовская область, г. Аксай, ул. Промышленная, 5"
"17";"17";"124";"г. Аксай  – г. Ростов-на-Дону";"г. Аксай, Водники,
г. Аксай, ул. Революции,
г. Аксай, Сельхозтехника,
г. Аксай, ул. Чичерина,
г. Аксай, пл. Героев,
г. Аксай, Почта,
г. Аксай, ул. Буденновский Спуск,
г. Аксай, ул. Колодезная,
г. Аксай, ул. Маяковского,
г. Аксай, Больница,
г. Аксай, Стадион,
г. Аксай, ПМК,
г. Аксай, Совтрансавто,
г. Аксай, Релейная,
г. Аксай, пр-кт. Аксайский (Овощной рынок),
г. Ростов-на-Дону, Пригородный автовокзал,
г. Ростов-на-Дону, пл. Карла Маркса";"прямое направление:,
г. Аксай, ул. Чапаева,
г. Аксай, ул. Советская,
г. Аксай, ул. Гулаева,
г. Аксай, ул. Толпинского,
г. Аксай, пр-кт. Ленина,
г. Аксай, пр-кт. Аксайский,
г. Ростов-на-Дону, пр-кт. Шолохова,
г. Ростов-на-Дону, ул. 20-я линия,
г. Ростов-на-Дону, пл. Карла Маркса,
обратное направление:,
г. Ростов-на-Дону, пл. Карла Маркса,
г. Ростов-на-Дону, ул. 20-я линия,
г. Ростов-на-Дону, пр-кт. Шолохова,
г. Аксай, пр-кт. Аксайский,
г. Аксай, пр-кт. Ленина,
г. Аксай, ул. Толпинского,
г. Аксай, ул. Гулаева,
г. Аксай, ул. Советская,
г. Аксай, ул. Луначарского,
г. Аксай, ул. Октябрьская,
г. Аксай, ул. Чапаева";"20.0";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Малый";"6";"не ниже Euro-2";"15.05.2018";"ООО «Кварта-1»";"346720, Ростовская область, г. Аксай, ул. Промышленная, 5"
"18";"18";"240";"г. Аксай - г. Ростов-на-Дону (р-к Темерник)";"г. Аксай, пл. Героев,
г. Аксай, школа №1,
г. Аксай, АКД,
г. Аксай, Больница,
г. Аксай, Почта,
г. Аксай, ПМК,
ТЦ 'МЕГА' (г. Аксай)";"г. Аксай, ул. Гулаева,
г. Аксай, ул. Толпинского,
г. Аксай, пр-кт. Ленина,
г. Аксай, пр-кт. Аксайский,
г. Ростов-на-Дону, ул. Малое Зеленое Кольцо,
г. Ростов-на-Дону, ул. Днепропетровская,
г. Ростов-на-Дону, ул. Панфиловцев,
г. Ростов-на-Дону, ул. Вятская,
г. Ростов-на-Дону, ул. Штахановского,
г. Ростов-на-Дону, ул. Лелюшенко";"19.0";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Малый";"8";"не ниже Евро-2";"15.05.2018";"ООО «Кварта-1»";"346720, Ростовская область, г. Аксай, ул. Промышленная, 5"
"19";"19";"516";"г. Аксай – г. Ростов-на-Дону – х. Ленинаван – г. Аксай";"г. Аксай, ул. Зеленая,
г. Аксай, Больница,
г. Аксай, ПМК,
г. Аксай, Совтрансавто,
г. Аксай, Релейная,
ТЦ 'МЕГА' (г. Аксай),
Аксайский поворот,
Переходной мост,
г. Аксай, ул. Чапаева,
Тимоша,
Б/О УРН-106,
Б/О Дубок,
г. Ростов-на-Дону, ул. Левобережная (Казачий хутор),
г. Ростов-на-Дону, ул. Левобережная (Ж/д мост),
Б/О Химик ,
г. Ростов-на-Дону, ул. Левобережная (Петровский),
Б/О Динамо,
г. Ростов-на-Дону, ул. Левобережная (Городской пляж),
г. Ростов-на-Дону (пляжная),
г. Ростов-на-Дону, ТРК МЕГАМАГ,
г. Ростов-на-Дону, Пригородный ж/д вокзал,
г. Ростов-на-Дону, пер. Братский,
г. Ростов-на-Дону, ул. Большая Садовая / пр-кт. Буденновский,
г. Ростов-на-Дону, Центральный рынок,
г. Ростов-на-Дону, пл. 5 Донского Корпуса,
г. Ростов-на-Дону, пл. Стачки 1902 года,
г. Ростов-на-Дону, пр-кт. Стачки (Переходной мост),
г. Ростов-на-Дону, пер. Бабушкина,
г. Ростов-на-Дону, пр-кт. Стачки (Площадь Дружинников),
г. Ростов-на-Дону, пл. Рабочая,
г. Ростов-на-Дону, ул. Мадояна (5-й роддом),
г. Ростов-на-Дону, ул. Разина,
г. Ростов-на-Дону, пер. Вагайский,
г. Ростов-на-Дону, ул. Лесопарковая,
г. Ростов-на-Дону, ул. Мадояна (Сады),
г. Ростов-на-Дону, пер. Араратский,
г. Ростов-на-Дону, ул. Львовская,
г. Ростов-на-Дону, ул. Содружества,
г. Ростов-на-Дону, ул. 339-й Стрелковой Дивизии (магазин 'Поиск'),
г. Ростов-на-Дону, ул. 339-й Стрелковой Дивизии (автостоянка),
г. Ростов-на-Дону, ул. 339-й Стрелковой Дивизии (Детская областная больница),
г. Ростов-на-Дону, ул. 339-й Стрелковой Дивизии (Областная больница),
г. Ростов-на-Дону, ул. Малиновского (ТЦ 'Окей'),
г. Ростов-на-Дону, авторынок 'Фортуна',
г. Ростов-на-Дону, издательство 'МОЛОТ',
г. Ростов-на-Дону, ул. Малиновского (Хлебозавод),
г. Ростов-на-Дону, ул. Малиновского (сады),
г. Ростов-на-Дону, ул. Малиновского (нефтекачка),
г. Ростов-на-Дону, пост ГИБДД,
г. Ростов-на-Дону, ул. Таганрогская (переезд),
г. Ростов-на-Дону, ул. Таганрогская (Стройгородок),
г. Ростов-на-Дону, ул. Таганрогская (ЖК 50-летия Победы),
г. Ростов-на-Дону, ул. Таганрогская (Болгарстрой),
г. Ростов-на-Дону, ул. Таганрогская (рынок),
г. Ростов-на-Дону, ул. Таганрогская (Военвед),
г. Ростов-на-Дону, ул. Оганова,
г. Ростов-на-Дону, пер. Авиамоторный,
г. Ростов-на-Дону, Госпиталь,
г. Ростов-на-Дону, ул. Вавилова,
г. Ростов-на-Дону, ул. Иловайская,
г. Ростов-на-Дону, ул. Вавилова, АТП №3,
г. Ростов-на-Дону, пер. Радиаторный,
г. Ростов-на-Дону, пер. Изыскательский,
г. Ростов-на-Дону, ул. Неклиновская,
г. Ростов-на-Дону, Столбовая,
г. Ростов-на-Дону, сад. Звезда,
г. Ростов-на-Дону, Центральная,
г. Ростов-на-Дону, сад. Спутник,
г. Ростов-на-Дону, сад. За дружбу,
г. Ростов-на-Дону, Учительская,
х. Ленинаван,
г. Ростов-на-Дону, сад. Геологов,
г. Ростов-на-Дону, сад. Энергия,
г. Ростов-на-Дону, ул. Вавилова (Совхоз СКВО),
г. Ростов-на-Дону, ул. Петренко, 18,
г. Ростов-на-Дону, ул. Сосновая (мкр. Суворовский)";"прямое направление:,
г. Аксай, ул. Платова,
г. Аксай, ул. Карла Либкнехта,
г. Аксай, пр-кт. Ленина,
г. Аксай, пр-кт. Аксайский,
г. Аксай, ул. Западная,
автомобильная дорога М-4 'Дон',
г. Ростов-на-Дону, ул. Левобережная,
г. Ростов-на-Дону, ул. Чемордачка,
г. Ростов-на-Дону, ул. Левобережная,
г. Ростов-на-Дону, ул. Пойменная,
г. Ростов-на-Дону, пр-кт. Сиверса,
г. Ростов-на-Дону, ул. Большая Садовая,
г. Ростов-на-Дону, пр-кт. Буденновский,
г. Ростов-на-Дону, ул. Станиславского,
г. Ростов-на-Дону, пр-кт. Стачки,
г. Ростов-на-Дону, ул. Мопра,
г. Ростов-на-Дону, ул. Мадояна,
г. Ростов-на-Дону, ул. Еременко,
г. Ростов-на-Дону, ул. Содружества,
г. Ростов-на-Дону, ул. 339-й Стрелковой Дивизии,
г. Ростов-на-Дону, ул. Малиновского,
г. Ростов-на-Дону, ул. Таганрогская,
г. Ростов-на-Дону, ул. Дачная,
г. Ростов-на-Дону, ул. 56 Армии,
г. Ростов-на-Дону, ул. Дачная,
г. Ростов-на-Дону, ул. Вавилова,
г. Ростов-на-Дону, ул. Особенная,
г. Ростов-на-Дону, ул. Зрелищная,
г. Ростов-на-Дону, ул. Вавилова,
г. Ростов-на-Дону, ул. Петренко,
обратное направление:,
г. Ростов-на-Дону, ул. Петренко,
г. Ростов-на-Дону, ул. Сосновая,
г. Ростов-на-Дону, ул. Вавилова,
г. Ростов-на-Дону, ул. Зрелищная,
г. Ростов-на-Дону, ул. Особенная,
г. Ростов-на-Дону, ул. Вавилова,
г. Ростов-на-Дону, ул. Таганрогская,
г. Ростов-на-Дону, ул. Малиновского,
г. Ростов-на-Дону, ул. 339-й Стрелковой Дивизии,
г. Ростов-на-Дону, ул. Содружества,
г. Ростов-на-Дону, ул. Еременко,
г. Ростов-на-Дону, ул. Мадояна,
г. Ростов-на-Дону, ул. Мопра,
г. Ростов-на-Дону, пр-кт. Стачки,
г. Ростов-на-Дону, ул. Московская,
г. Ростов-на-Дону, пр-кт. Буденновский,
г. Ростов-на-Дону, ул. Станиславского,
г. Ростов-на-Дону, пер. Островского,
г. Ростов-на-Дону, ул. Большая Садовая,
г. Ростов-на-Дону, пл. Привокзальная,
г. Ростов-на-Дону, пр-кт. Сиверса,
г. Ростов-на-Дону, ул. Пойменная,
г. Ростов-на-Дону, ул. Левобережная,
г. Ростов-на-Дону, ул. Чемордачка,
г. Ростов-на-Дону, ул. Левобережная,
автомобильная дорога М-4 'Дон',
г. Аксай, ул. Западная,
г. Аксай, ул. Гагарина,
г. Аксай, пр-кт. Ленина";"62.7";"только в установленных остановочных пунктах";"По регулируемым тарифам";"Автобус";"Малый";"12";"Euro не установлено";"30.07.2014";"ООО «Аксай-Авто»";"346711, Ростовская область, Аксайский район, п. Опытный, ул. Центральная, 35"
